PERIODO,DEPARTAMENTO,Municipio,CODIGO PLANTEL EDUCATIVO,GRADO,TOTAL INSCRITOS,TOTAL EVALUADOS,CLASIFICACION,INDICE TOTAL,APROBACIÓN,POBLACIÓN DANE,No. ACCESOS FIJOS A INTERNET,REPITENCIA,DESERCIÓN,COBERTURA_NETA,REPROBACIÓN
2021,cundinamarca,vergara,225862000384,11.0,6.0,6.0,SC,0.67,95.77,7104,64,2.72,2.43,75.89,1.81
2021,cundinamarca,vergara,225862000490,11.0,36.0,36.0,C,0.66,95.77,7104,64,2.72,2.43,75.89,1.81
2021,cundinamarca,yacopí,225885002031,11.0,43.0,40.0,C,0.62,96.38,12782,134,3.34,2.95,80.12,0.68
2021,cundinamarca,yacopí,225885000195,11.0,21.0,21.0,D,0.6,96.38,12782,134,3.34,2.95,80.12,0.68
2021,santander,el peñón,268101000250,11.0,29.0,28.0,D,0.57,92.3,6024,50,3.37,3.3,78.98,4.4
2021,santander,el peñón,268101001256,11.0,17.0,16.0,D,0.6,92.3,6024,50,3.37,3.3,78.98,4.4
2021,cundinamarca,cota,311001002347,11.0,170.0,166.0,A+,0.88,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,cota,311001046816,11.0,78.0,75.0,A+,0.83,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,anapoima,325035000484,11.0,16.0,15.0,A,0.74,95.13,15173,1198,5.75,3.58,96.21,1.29
2021,cundinamarca,anolaima,325040000778,11.0,3.0,3.0,SC,0.68,94.34,14376,609,3.77,3.05,102.62,2.61
2021,cundinamarca,facatativá,325269004289,11.0,87.0,77.0,D,0.6,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,facatativá,325269800077,11.0,8.0,4.0,SC,0.69,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,funza,325286000980,11.0,3.0,2.0,SC,0.7,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,funza,325286800013,11.0,4.0,4.0,SC,0.7,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,fusagasugá,325290002135,11.0,2.0,103.94,SC,0.67,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,fusagasugá,325290002142,11.0,12.0,11.0,D,0.62,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,girardot,325307001604,11.0,1.0,1.0,SC,0.64,87.04,105557,20344,3.45,5.02,96.97,7.94
2021,cundinamarca,girardot,325307001981,11.0,5.0,4.0,SC,0.64,87.04,105557,20344,3.45,5.02,96.97,7.94
2021,cundinamarca,nemocón,325486000259,11.0,5.0,5.0,SC,0.67,95.89,13766,959,2.32,3.23,93.79,0.88
2021,cundinamarca,soacha,325754003622,11.0,24.0,24.0,D,0.59,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754004599,11.0,3.0,3.0,SC,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754005200,11.0,30.0,26.0,D,0.62,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754005331,11.0,77.0,70.0,C,0.63,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754005366,11.0,250.0,226.0,D,0.62,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754005595,11.0,1.0,1.0,SC,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754800026,11.0,5.0,5.0,SC,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,sopó,325758800012,11.0,11.0,9.0,B,0.69,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,cundinamarca,tabio,325785800016,11.0,23.0,20.0,C,0.65,96.95,22653,3487,2.4,2.06,83.91,1.0
2021,cundinamarca,zipaquirá,325899001555,11.0,11.0,10.0,D,0.6,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,zipaquirá,325899090281,11.0,4.0,4.0,SC,0.71,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,zipaquirá,325899800016,11.0,4.0,4.0,SC,0.71,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,zipaquirá,325899800067,11.0,39.0,32.0,D,0.58,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,la calera,411001076558,11.0,86.0,82.0,A+,0.81,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,cundinamarca,cota,425214000203,11.0,78.0,76.0,A+,0.85,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,cota,425214047536,11.0,2.0,2.0,SC,0.76,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,fusagasugá,425290002229,11.0,60.0,54.0,D,0.59,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,la calera,425377000529,11.0,104.0,103.0,A+,0.86,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,cundinamarca,la calera,425377076711,11.0,37.0,36.0,A+,0.85,92.88,31209,7026,5.17,2.89,138.75,4.23
